@relation moving_squares

@attribute feat_1 numeric
@attribute feat_2 numeric
@attribute target {0,1,2,3}

@data
0.074906,0.000176,3
0.271542,0.035921,0
0.197749,0.040037,1
0.144625,0.003032,2
0.055622,0.04582,3
0.29746,0.036773,0
0.192714,0.011407,1
0.123147,0.017185,2
0.047531,0.035979,3
0.279109,0.042213,0
0.241838,0.003565,1
0.122271,0.016265,2
0.060308,0.048059,3
0.308127,0.008702,0
0.233826,0.026738,1
0.161406,0.000096,2
0.07951,0.014732,3
0.286387,0.020687,0
0.195851,0.031443,1
0.15824,0.037109,2
0.069723,0.002418,3
0.289403,0.008899,0
0.241914,0.022983,1
0.135868,0.0243,2
0.072369,0.025448,3
0.290369,0.00423,0
0.245464,0.02773,1
0.129628,0.009558,2
0.077158,0.015506,3
0.309906,0.013237,0
0.243422,0.042679,1
0.139658,0.018248,2
0.050739,0.001855,3
0.289775,0.032688,0
0.243054,0.027524,1
0.124735,0.026065,2
0.074395,0.045013,3
0.276663,0.032505,0
0.212798,0.034633,1
0.128556,0.029893,2
0.063183,0.025766,3
0.30522,0.023843,0
0.242328,0.01508,1
0.129892,0.036098,2
0.071662,0.005135,3
0.28931,0.035081,0
0.209686,0.014902,1
0.165042,0.01758,2
0.093807,0.042908,3
0.301485,0.047867,0
0.224432,0.03343,1
0.155057,0.015666,2
0.072748,0.036141,3
0.313717,0.009534,0
0.236932,0.048407,1
0.161208,0.028333,2
0.099534,0.026163,3
0.317441,0.005943,0
0.228307,0.029524,1
0.174865,0.021255,2
0.093897,0.043951,3
0.311368,0.035341,0
0.247137,0.006299,1
0.139901,0.020856,2
0.073572,0.009876,3
0.324736,0.026363,0
0.230213,0.016947,1
0.146554,0.0076,2
0.097249,0.039708,3
0.291112,0.041874,0
0.243678,0.023664,1
0.150813,0.02771,2
0.061001,0.014431,3
0.32738,0.00322,0
0.237967,0.03759,1
0.144234,0.039771,2
0.081888,0.000059,3
0.311168,0.005732,0
0.254029,0.038637,1
0.176168,0.031782,2
0.099073,0.023908,3
0.331633,0.00722,0
0.215605,0.035647,1
0.17345,0.004572,2
0.099865,0.033973,3
0.31256,0.014758,0
0.227913,0.024332,1
0.144636,0.014256,2
0.097886,0.037074,3
0.289613,0.000872,0
0.222616,0.007054,1
0.183866,0.029995,2
0.095281,0.040992,3
0.335634,0.029125,0
0.214314,0.024744,1
0.15191,0.020954,2
0.100948,0.022737,3
0.327367,0.013289,0
0.261623,0.035506,1
0.144803,0.009554,2
0.104646,0.00516,3
0.338402,0.02218,0
0.240287,0.001246,1
0.172959,0.022838,2
0.114975,0.02369,3
0.306053,0.031307,0
0.263008,0.008738,1
0.161441,0.028891,2
0.084688,0.017467,3
0.317082,0.005558,0
0.249129,0.038525,1
0.149331,0.01477,2
0.101034,0.042429,3
0.301871,0.009885,0
0.226387,0.037436,1
0.175649,0.024115,2
0.088679,0.007805,3
0.307391,0.049863,0
0.235013,0.020085,1
0.17642,0.016871,2
0.073793,0.047018,3
0.32825,0.018365,0
0.231889,0.00912,1
0.185794,0.034272,2
0.080774,0.049259,3
0.337467,0.026036,0
0.255408,0.03424,1
0.147006,0.016694,2
0.102937,0.008608,3
0.323878,0.02557,0
0.25073,0.012365,1
0.160612,0.043032,2
0.096832,0.011402,3
0.335007,0.006624,0
0.273452,0.013603,1
0.195991,0.014942,2
0.122078,0.041074,3
0.319149,0.043468,0
0.229925,0.0024,1
0.177043,0.033361,2
0.081133,0.029517,3
0.325652,0.045863,0
0.230991,0.019616,1
0.171134,0.040783,2
0.094267,0.020515,3
0.325265,0.026665,0
0.22717,0.007536,1
0.16042,0.030353,2
0.10478,0.014044,3
0.337024,0.048365,0
0.236125,0.013222,1
0.163957,0.037239,2
0.096538,0.049849,3
0.346997,0.039909,0
0.264419,0.004341,1
0.183214,0.013143,2
0.096349,0.020224,3
0.313452,0.047252,0
0.272211,0.028289,1
0.20404,0.049513,2
0.110305,0.048734,3
0.319471,0.001811,0
0.259852,0.023886,1
0.195119,0.018061,2
0.084924,0.002418,3
0.330254,0.035785,0
0.233514,0.039458,1
0.202666,0.001933,2
0.087425,0.036486,3
0.328443,0.049091,0
0.235941,0.014066,1
0.198654,0.028361,2
0.119571,0.039796,3
0.336428,0.000209,0
0.247014,0.042526,1
0.182652,0.048261,2
0.111934,0.013819,3
0.334862,0.010021,0
0.246612,0.042631,1
0.192576,0.010331,2
0.132563,0.038033,3
0.333785,0.049877,0
0.242509,0.024902,1
0.205969,0.001147,2
0.135867,0.042824,3
0.336713,0.026381,0
0.268261,0.017498,1
0.206605,0.027988,2
0.100482,0.04885,3
0.351798,0.008864,0
0.253282,0.015627,1
0.186184,0.027616,2
0.102484,0.047818,3
0.331937,0.007449,0
0.245128,0.037079,1
0.207611,0.018237,2
0.135216,0.009829,3
0.364761,0.026543,0
0.24009,0.039786,1
0.202564,0.02111,2
0.09869,0.023265,3
0.32817,0.033176,0
0.27646,0.026037,1
0.170644,0.03253,2
0.136917,0.007305,3
0.348466,0.014627,0
0.27965,0.022221,1
0.210786,0.014671,2
0.107639,0.012151,3
0.344654,0.010173,0
0.279591,0.00883,1
0.189982,0.006425,2
0.122781,0.039232,3
0.325855,0.01325,0
0.257694,0.023034,1
0.204343,0.039209,2
0.108546,0.005702,3
0.352661,0.008853,0
0.285396,0.011126,1
0.215125,0.026959,2
0.115238,0.028816,3
0.337474,0.023805,0
0.264837,0.019043,1
0.184028,0.04088,2
0.126953,0.048243,3
0.37146,0.041806,0
0.262545,0.020139,1
0.172453,0.024485,2
0.100358,0.031583,3
0.366963,0.026251,0
0.277292,0.027848,1
0.176494,0.033494,2
0.137612,0.021697,3
0.349041,0.020497,0
0.294081,0.01954,1
0.194215,0.040631,2
0.105021,0.008962,3
0.374751,0.040317,0
0.254321,0.003562,1
0.187316,0.044373,2
0.107144,0.005769,3
0.345094,0.003589,0
0.255135,0.024437,1
0.198524,0.039707,2
0.108777,0.037154,3
0.337662,0.028297,0
0.260765,0.010256,1
0.226487,0.00191,2
0.118582,0.010681,3
0.37472,0.025001,0
0.283405,0.043264,1
0.213442,0.040222,2
0.120569,0.048674,3
0.365111,0.028909,0
0.265257,0.019565,1
0.221646,0.041207,2
0.113802,0.029721,3
0.351791,0.03293,0
0.262874,0.038298,1
0.210291,0.00094,2
0.153631,0.026526,3
0.356679,0.040672,0
0.259402,0.024701,1
0.185562,0.020301,2
0.108942,0.023236,3
0.372403,0.003943,0
0.257293,0.030797,1
0.187155,0.039391,2
0.132874,0.031699,3
0.360728,0.026515,0
0.27683,0.021588,1
0.202774,0.049597,2
0.13093,0.031663,3
0.337118,0.039169,0
0.278333,0.011744,1
0.228924,0.012721,2
0.150521,0.049217,3
0.347955,0.016328,0
0.299696,0.037115,1
0.215618,0.021414,2
0.110311,0.034473,3
0.361069,0.033706,0
0.281327,0.049902,1
0.207759,0.010594,2
0.115346,0.030034,3
0.355578,0.018846,0
0.26838,0.033146,1
0.222845,0.008826,2
0.142153,0.01992,3
0.349976,0.032979,0
0.274204,0.043804,1
0.216928,0.037698,2
0.113334,0.014515,3
0.362057,0.049121,0
0.293922,0.009535,1
0.189871,0.021213,2
0.150843,0.038479,3
0.343225,0.009797,0
0.302213,0.030603,1
0.222026,0.047944,2
0.148595,0.026138,3
0.372264,0.046253,0
0.302527,0.012994,1
0.1955,0.01585,2
0.135718,0.039303,3
0.382891,0.013873,0
0.285875,0.000236,1
0.203411,0.035748,2
0.1656,0.014301,3
0.361783,0.04068,0
0.278603,0.020319,1
0.217518,0.047835,2
0.158946,0.035941,3
0.367594,0.027868,0
0.292281,0.026353,1
0.227485,0.031935,2
0.120961,0.026375,3
0.349914,0.04459,0
0.271954,0.034422,1
0.24149,0.029084,2
0.129185,0.038808,3
0.394197,0.029127,0
0.318275,0.029136,1
0.243411,0.02591,2
0.150272,0.002041,3
0.38164,0.026129,0
0.317291,0.039339,1
0.221416,0.00994,2
0.166857,0.005916,3
0.349121,0.031354,0
0.30234,0.011184,1
0.204879,0.044185,2
0.168152,0.01843,3
0.367716,0.028403,0
0.284546,0.000777,1
0.206008,0.008896,2
0.156955,0.044522,3
0.351611,0.025683,0
0.318761,0.033136,1
0.206204,0.03046,2
0.147336,0.01108,3
0.399555,0.039272,0
0.319843,0.044677,1
0.219722,0.029607,2
0.138376,0.001353,3
0.365721,0.009739,0
0.277958,0.041138,1
0.226947,0.03687,2
0.163019,0.033497,3
0.355526,0.029736,0
0.279968,0.030071,1
0.228137,0.008841,2
0.154644,0.03072,3
0.381042,0.00579,0
0.299809,0.01525,1
0.247734,0.010714,2
0.170288,0.04109,3
0.373525,0.048248,0
0.310042,0.026865,1
0.250361,0.027667,2
0.148714,0.007813,3
0.378976,0.046322,0
0.308706,0.037558,1
0.223503,0.040059,2
0.178492,0.013511,3
0.403482,0.00041,0
0.319403,0.030947,1
0.226391,0.030371,2
0.143294,0.048035,3
0.405133,0.039389,0
0.286169,0.039166,1
0.251489,0.014134,2
0.164545,0.008001,3
0.36835,0.029329,0
0.30998,0.012196,1
0.215123,0.020797,2
0.175672,0.016347,3
0.409741,0.031826,0
0.320397,0.047759,1
0.25737,0.010667,2
0.182582,0.011711,3
0.408944,0.0153,0
0.292541,0.007374,1
0.224118,0.049626,2
0.185937,0.017776,3
0.371437,0.016165,0
0.310927,0.017344,1
0.22365,0.027783,2
0.180018,0.027802,3
0.365753,0.04633,0
0.330206,0.034439,1
0.214275,0.036327,2
0.186605,0.012255,3
0.407083,0.024425,0
0.296801,0.03701,1
0.235473,0.004037,2
0.160397,0.017056,3
0.386199,0.04166,0
0.326962,0.041888,1
0.234409,0.01288,2
0.162867,0.005774,3
0.368754,0.038215,0
0.314204,0.013054,1
0.234672,0.044016,2
0.164523,0.041922,3
0.392788,0.030689,0
0.324363,0.03737,1
0.218603,0.04317,2
0.154106,0.014889,3
0.416243,0.023375,0
0.338785,0.008857,1
0.265353,0.012814,2
0.144132,0.026901,3
0.380443,0.013508,0
0.316572,0.031845,1
0.239809,0.012509,2
0.191066,0.043599,3
0.413346,0.011274,0
0.327491,0.020775,1
0.242643,0.044436,2
0.19231,0.029476,3
0.38007,0.006424,0
0.322821,0.037712,1
0.257685,0.015093,2
0.146479,0.018693,3
0.392346,0.026312,0
0.332386,0.025983,1
0.267652,0.049037,2
0.151295,0.044911,3
0.380756,0.042296,0
0.309306,0.004642,1
0.236771,0.024277,2
0.185926,0.005735,3
0.374449,0.02744,0
0.310397,0.03233,1
0.263481,0.008936,2
0.190127,0.010155,3
0.383666,0.032727,0
0.313183,0.027539,1
0.226249,0.045264,2
0.161839,0.017611,3
0.385022,0.002798,0
0.314342,0.019816,1
0.23185,0.031328,2
0.196965,0.049948,3
0.402834,0.016259,0
0.325401,0.032443,1
0.26051,0.04977,2
0.154208,0.007736,3
0.388594,0.020605,0
0.352445,0.031173,1
0.252877,0.030824,2
0.184656,0.035669,3
0.387011,0.036404,0
0.313583,0.01388,1
0.263277,0.03581,2
0.200869,0.027786,3
0.400252,0.005335,0
0.352899,0.046139,1
0.233705,0.020191,2
0.19677,0.029316,3
0.422048,0.042621,0
0.339747,0.003498,1
0.275644,0.032858,2
0.172158,0.022381,3
0.389518,0.000863,0
0.325515,0.005224,1
0.232502,0.023134,2
0.171823,0.045378,3
0.4004,0.019246,0
0.330832,0.033555,1
0.270071,0.030757,2
0.194122,0.041018,3
0.388859,0.014179,0
0.332704,0.026698,1
0.263338,0.002848,2
0.208633,0.044138,3
0.413878,0.007691,0
0.338394,0.03168,1
0.271385,0.026383,2
0.187231,0.007421,3
0.412386,0.037398,0
0.33456,0.030016,1
0.283921,0.042987,2
0.168175,0.017505,3
0.416137,0.00619,0
0.359057,0.023035,1
0.273801,0.049627,2
0.183747,0.033231,3
0.409071,0.006052,0
0.362664,0.043718,1
0.279901,0.000934,2
0.194326,0.037932,3
0.422949,0.007899,0
0.356296,0.001608,1
0.263356,0.016687,2
0.209645,0.043119,3
0.391498,0.005384,0
0.351264,0.044145,1
0.270927,0.03872,2
0.206725,0.030305,3
0.401439,0.04263,0
0.346954,0.007199,1
0.273475,0.02654,2
0.172331,0.041898,3
0.425454,0.007212,0
0.364824,0.005408,1
0.246465,0.017207,2
0.212469,0.00459,3
0.439701,0.034541,0
0.366167,0.045437,1
0.279626,0.047402,2
0.187413,0.045839,3
0.399147,0.023724,0
0.322351,0.026494,1
0.279151,0.025314,2
0.17321,0.005887,3
0.41704,0.048926,0
0.361519,0.028731,1
0.280663,0.009466,2
0.180437,0.033879,3
0.442925,0.028655,0
0.325514,0.022116,1
0.270561,0.032785,2
0.195115,0.005489,3
0.42127,0.037125,0
0.34211,0.015241,1
0.268547,0.009083,2
0.19422,0.011815,3
0.434212,0.015887,0
0.327414,0.005125,1
0.269379,0.004617,2
0.186216,0.037375,3
0.442788,0.042423,0
0.344209,0.03231,1
0.287995,0.025842,2
0.192824,0.02977,3
0.410077,0.021559,0
0.373884,0.029585,1
0.287367,0.014179,2
0.193911,0.001292,3
0.418354,0.012024,0
0.327857,0.022383,1
0.261136,0.001887,2
0.195984,0.015829,3
0.415388,0.040118,0
0.347681,0.013059,1
0.286724,0.024795,2
0.200237,0.038943,3
0.428459,0.003588,0
0.355176,0.023954,1
0.276838,0.040901,2
0.178512,0.047622,3
0.413364,0.042919,0
0.364181,0.038452,1
0.283857,0.015537,2
0.19268,0.01996,3
0.411076,0.047508,0
0.355967,0.046761,1
0.277209,0.041024,2
0.202445,0.016133,3
0.417316,0.046665,0
0.36859,0.04907,1
0.288255,0.045761,2
0.211088,0.039771,3
0.451711,0.034941,0
0.332794,0.035368,1
0.287594,0.041163,2
0.212187,0.042775,3
0.455029,0.017702,0
0.378664,0.022427,1
0.270178,0.040549,2
0.22812,0.021242,3
0.439536,0.03624,0
0.355086,0.047438,1
0.2912,0.033087,2
0.212857,0.031947,3
0.454784,0.049564,0
0.375406,0.048734,1
0.270675,0.007777,2
0.23157,0.015931,3
0.457682,0.002194,0
0.336357,0.047571,1
0.303776,0.006202,2
0.211467,0.039576,3
0.436234,0.036992,0
0.347487,0.042043,1
0.300142,0.022325,2
0.221638,0.036896,3
0.415828,0.029453,0
0.385563,0.014533,1
0.273247,0.021507,2
0.215462,0.034541,3
0.421773,0.048198,0
0.36428,0.018521,1
0.287902,0.040912,2
0.201021,0.034681,3
0.442959,0.013527,0
0.361866,0.043018,1
0.286096,0.031668,2
0.222276,0.031596,3
0.459336,0.041106,0
0.346487,0.031088,1
0.283967,0.009611,2
0.21989,0.00134,3
0.437728,0.042357,0
0.365973,0.048632,1
0.292162,0.029976,2
0.216678,0.033511,3
0.424458,0.010229,0
0.375783,0.047767,1
0.307457,0.048268,2
0.238935,0.006561,3
0.421928,0.014217,0
0.386532,0.020283,1
0.317066,0.039089,2
0.236159,0.005123,3
0.428756,0.046371,0
0.380362,0.034964,1
0.303728,0.040475,2
0.200683,0.038677,3
0.42302,0.049184,0
0.356749,0.012235,1
0.278377,0.010738,2
0.212655,0.016609,3
0.454778,0.031557,0
0.375297,0.045535,1
0.280017,0.03657,2
0.245923,0.037453,3
0.464025,0.011888,0
0.388034,0.038116,1
0.275242,0.036223,2
0.217377,0.014103,3
0.432966,0.021798,0
0.377027,0.034445,1
0.320995,0.04763,2
0.235753,0.016457,3
0.428832,0.014951,0
0.358544,0.006746,1
0.321708,0.036467,2
0.229002,0.011913,3
0.436206,0.014524,0
0.364277,0.00163,1
0.296888,0.043572,2
0.234883,0.038747,3
0.448825,0.016625,0
0.3788,0.017353,1
0.2932,0.009177,2
0.21274,0.03148,3
0.433927,0.008968,0
0.360262,0.034416,1
0.314237,0.023649,2
0.233506,0.014708,3
0.444802,0.003886,0
0.378216,0.025738,1
0.310211,0.037899,2
0.231542,0.034499,3
0.447098,0.01406,0
0.367277,0.01178,1
0.320257,0.04442,2
0.237116,0.048425,3
0.467303,0.027786,0
0.388745,0.016575,1
0.324478,0.043607,2
0.234539,0.020827,3
0.481306,0.035332,0
0.40458,0.046702,1
0.300487,0.016734,2
0.236418,0.035557,3
0.444418,0.011513,0
0.386082,0.023134,1
0.305799,0.010082,2
0.211812,0.013161,3
0.460664,0.04963,0
0.393421,0.032949,1
0.305314,0.014716,2
0.220221,0.002349,3
0.481008,0.040622,0
0.385756,0.023712,1
0.301679,0.035062,2
0.2191,0.005219,3
0.469761,0.045612,0
0.38343,0.004875,1
0.313882,0.009049,2
0.243327,0.024423,3
0.461475,0.026708,0
0.406931,0.045276,1
0.320265,0.048274,2
0.240933,0.008024,3
0.44504,0.04696,0
0.395856,0.008112,1
0.337653,0.034701,2
0.221977,0.013252,3
0.44287,0.03053,0
0.408493,0.023742,1
0.327959,0.021312,2
0.255591,0.004235,3
0.451138,0.04656,0
0.383916,0.039803,1
0.311705,0.008823,2
0.2209,0.048102,3
0.485212,0.014313,0
0.393702,0.02549,1
0.33523,0.024181,2
0.229161,0.044797,3
0.476237,0.024084,0
0.394294,0.001599,1
0.323814,0.047234,2
0.226967,0.047985,3
0.471488,0.032479,0
0.38465,0.020351,1
0.312756,0.047869,2
0.246411,0.02543,3
0.474955,0.028656,0
0.37456,0.001506,1
0.335832,0.019506,2
0.248607,0.025442,3
0.465062,0.048474,0
0.404531,0.022768,1
0.311681,0.022085,2
0.26168,0.011566,3
0.464076,0.045802,0
0.38575,0.045275,1
0.304992,0.013125,2
0.23818,0.030804,3
0.459156,0.000874,0
0.386231,0.019788,1
0.33307,0.019437,2
0.268148,0.022212,3
0.460006,0.034823,0
0.417652,0.00867,1
0.334614,0.003481,2
0.25433,0.025784,3
0.487598,0.033146,0
0.387314,0.019839,1
0.329151,0.041734,2
0.272758,0.010741,3
0.481776,0.037617,0
0.410844,0.026515,1
0.336439,0.048582,2
0.227632,0.009751,3
0.459642,0.015577,0
0.418725,0.02545,1
0.313086,0.037464,2
0.227149,0.021111,3
0.485803,0.028075,0
0.417867,0.029095,1
0.33781,0.020297,2
0.249633,0.031913,3
0.498032,0.00545,0
0.415608,0.032415,1
0.326607,0.032269,2
0.241291,0.029376,3
0.48102,0.031976,0
0.426261,0.000588,1
0.339759,0.017398,2
0.232219,0.036538,3
0.462604,0.042614,0
0.381218,0.029578,1
0.331226,0.022588,2
0.268831,0.043573,3
0.490538,0.047887,0
0.425834,0.019716,1
0.350799,0.047919,2
0.245474,0.027627,3
0.499342,0.043117,0
0.413107,0.027307,1
0.353436,0.014606,2
0.279416,0.04054,3
0.470917,0.02473,0
0.395568,0.037177,1
0.345994,0.022539,2
0.238695,0.049476,3
0.500388,0.011309,0
0.406803,0.0164,1
0.356152,0.035896,2
0.241573,0.025188,3
0.487222,0.030279,0
0.411064,0.04825,1
0.34273,0.012257,2
0.242634,0.027914,3
0.485521,0.0186,0
0.390611,0.02304,1
0.359458,0.033655,2
0.254122,0.039707,3
0.492128,0.030499,0
0.421455,0.049271,1
0.354599,0.023606,2
0.262555,0.020691,3
0.495581,0.033975,0
0.40155,0.018723,1
0.314224,0.04051,2
0.285607,0.042274,3
0.470949,0.046494,0
0.400616,0.020978,1
0.333475,0.03964,2
0.28477,0.027059,3
0.476005,0.015932,0
0.429228,0.002983,1
0.336829,0.00897,2
0.252042,0.041424,3
0.468823,0.024716,0
0.427536,0.016051,1
0.363779,0.009114,2
0.284246,0.047188,3
0.513223,0.013431,0
0.420216,0.009771,1
0.347726,0.045708,2
0.264548,0.029556,3
0.487289,0.001326,0
0.42684,0.019089,1
0.347437,0.01904,2
0.272608,0.003373,3
0.483331,0.004785,0
0.418953,0.042615,1
0.321256,0.02595,2
0.266656,0.034525,3
0.470344,0.002282,0
0.411161,0.007241,1
0.343808,0.039165,2
0.250569,0.023166,3
0.485297,0.023279,0
0.405683,0.04616,1
0.370033,0.031214,2
0.286149,0.016508,3
0.521964,0.044626,0
0.400972,0.049181,1
0.347044,0.007017,2
0.269921,0.013983,3
0.50637,0.021396,0
0.409133,0.03405,1
0.327103,0.047919,2
0.252553,0.019113,3
0.499165,0.011545,0
0.418203,0.001926,1
0.363547,0.019294,2
0.277446,0.00263,3
0.475964,0.037944,0
0.404137,0.025412,1
0.331918,0.042605,2
0.250713,0.010975,3
0.521626,0.034303,0
0.423965,0.043094,1
0.330804,0.024323,2
0.281761,0.002497,3
0.482108,0.003083,0
0.415638,0.012314,1
0.36696,0.003242,2
0.260082,0.015601,3
0.519303,0.019877,0
0.428873,0.049536,1
0.35614,0.02383,2
0.258656,0.003768,3
0.514763,0.031886,0
0.416405,0.010852,1
0.340259,0.006715,2
0.283064,0.016133,3
0.502495,0.044063,0
0.442973,0.028013,1
0.376348,0.047244,2
0.281808,0.024712,3
0.515621,0.025695,0
0.454883,0.006956,1
0.35113,0.006224,2
0.262647,0.032654,3
0.508552,0.040481,0
0.446691,0.005342,1
0.368944,0.042656,2
0.304168,0.03784,3
0.524649,0.019911,0
0.426074,0.045801,1
0.376588,0.035827,2
0.302207,0.009608,3
0.514406,0.042925,0
0.429777,0.010428,1
0.347517,0.037798,2
0.30154,0.026543,3
0.50197,0.008419,0
0.457483,0.001161,1
0.337371,0.019669,2
0.27792,0.048777,3
0.518705,0.04866,0
0.456753,0.022402,1
0.376832,0.038115,2
0.28242,0.000098,3
0.514956,0.049389,0
0.42666,0.014191,1
0.351247,0.004057,2
0.273101,0.018363,3
0.503815,0.022517,0
0.445701,0.033053,1
0.358328,0.029108,2
0.281548,0.033243,3
0.524707,0.01444,0
0.423057,0.016689,1
0.35096,0.022579,2
0.287377,0.017239,3
0.502285,0.001602,0
0.450075,0.02352,1
0.388968,0.007395,2
0.275558,0.038525,3
0.539194,0.037843,0
0.447493,0.011587,1
0.380728,0.037633,2
0.309391,0.037889,3
0.538775,0.011344,0
0.442757,0.014449,1
0.380445,0.004937,2
0.312476,0.022754,3
0.494348,0.00014,0
0.434328,0.014727,1
0.380353,0.044962,2
0.29509,0.023216,3
0.506073,0.02609,0
0.441159,0.04631,1
0.393901,0.002606,2
0.279851,0.034495,3
0.538216,0.025104,0
0.454251,0.020663,1
0.35034,0.009427,2
0.29946,0.043245,3
0.505648,0.046482,0
0.454411,0.033787,1
0.364589,0.010747,2
0.307469,0.033503,3
0.523114,0.007491,0
0.459064,0.021825,1
0.353966,0.003725,2
0.310705,0.007188,3
0.520536,0.021509,0
0.427675,0.044766,1
0.385719,0.025071,2
0.310313,0.039094,3
0.506648,0.005711,0
0.45693,0.00879,1
0.377475,0.044767,2
0.313515,0.027659,3
0.529384,0.003925,0
0.456663,0.04917,1
0.367495,0.039404,2
0.319437,0.013208,3
0.537241,0.031364,0
0.462115,0.017475,1
0.352474,0.046756,2
0.315882,0.045493,3
0.504652,0.006823,0
0.443827,0.007089,1
0.375707,0.032772,2
0.300271,0.032789,3
0.511316,0.01106,0
0.454311,0.038669,1
0.38439,0.014078,2
0.292793,0.025969,3
0.5425,0.019804,0
0.444829,0.009164,1
0.397557,0.030897,2
0.295667,0.022989,3
0.527941,0.018111,0
0.468157,0.009804,1
0.356973,0.010697,2
0.288226,0.017963,3
0.537376,0.04264,0
0.443322,0.021156,1
0.37722,0.039779,2
0.314198,0.000843,3
0.53644,0.038494,0
0.467951,0.027282,1
0.395969,0.040192,2
0.29339,0.010398,3
0.552884,0.005226,0
0.4692,0.033809,1
0.390255,0.0401,2
0.29515,0.011708,3
0.544286,0.042423,0
0.479853,0.0421,1
0.373843,0.043224,2
0.302666,0.00728,3
0.554311,0.007343,0
0.437042,0.040941,1
0.366735,0.034251,2
0.310259,0.040922,3
0.526029,0.048165,0
0.44375,0.024941,1
0.385406,0.026808,2
0.307271,0.031347,3
0.529613,0.022834,0
0.476837,0.044731,1
0.379953,0.005193,2
0.299648,0.010646,3
0.516696,0.020715,0
0.460408,0.020351,1
0.375403,0.022683,2
0.297543,0.027095,3
0.543324,0.045796,0
